Roll.no,CGPA,tot_arriers,clrd_arriers,Interns,Paid_intrn,Projects,Articels,Programming Language,Area_of_intrest_1,,Annual Package,Company_1
cseXXXX,8.2,0,0,3,1,5,2,java,iot,,1100000,Hidden Brains
cseXXXX,7.2,3,3,1,1,1,0,java,ml,,450000,Hyperlink Infosystem
cseXXXX,2.3,14,2,0,0,0,0,python,ds,,0,0
cseXXXX,6.5,0,0,1,2,3,1,c,iot,,350000,Hidden Brains
cseXXXX,9.5,0,0,1,1,1,1,c,networking,,1050000,Hyperlink Infosystem
cseXXXX,7.6,0,0,0,0,0,0,java,iot,,450000,Hidden Brains
cseXXXX,6.4,2,1,1,1,0,0,java,iot,,300000,Sea Sia Infotech 
cseXXXX,9.2,0,0,0,0,0,0,python,ml,,800000,Sea Sia Infotech 
cseXXXX,7.7,0,0,2,1,3,1,python,ml,,750000,0
cseXXXX,8.5,0,0,0,1,1,0,python,ml,,750000,Hidden Brains
cseXXXX,3.9,7,2,1,0,1,0,java,ml,,0,0
cseXXXX,7.7,1,0,0,1,2,0,c,ml,,350000,Hyperlink Infosystem
cseXXXX,4.7,5,3,1,2,3,0,c,ml,,0,Sea Sia Infotech 
cseXXXX,6,0,0,1,1,3,0,c,ml,,350000,Sea Sia Infotech 
cseXXXX,6.5,1,0,0,1,2,0,java,ml,,300000,Softway
cseXXXX,5.1,5,3,0,0,0,0,python,ml,,0,0
cseXXXX,6.2,1,0,0,1,2,0,python,ml,,300000,Sea Sia Infotech 
cseXXXX,7.1,0,0,0,0,2,0,java,iot,,400000,Sea Sia Infotech 
cseXXXX,6.9,0,0,0,0,0,0,c,iot,,400000,Hyperlink Infosystem
cseXXXX,4.8,3,1,0,0,1,0,c,iot,,0,0
cseXXXX,8.2,0,0,0,0,0,0,c,iot,,500000,Hidden Brains
cseXXXX,8.1,0,0,0,1,1,0,c,iot,,550000,Hidden Brains
cseXXXX,7,0,0,1,1,1,0,c,iot,,420000,Hidden Brains
cseXXXX,7.8,0,0,0,0,0,0,python,iot,,460000,Sea Sia Infotech 
cseXXXX,3.5,7,4,0,1,1,0,java,iot,,0,0
cseXXXX,7.6,0,0,1,0,1,0,java,iot,,350000,Hidden Brains
cseXXXX,2.8,12,3,0,0,0,0,python,iot,,0,0
cseXXXX,8.5,0,0,3,2,3,2,python,iot,,780000,Hyperlink Infosystem
cseXXXX,5.2,2,1,1,1,1,0,python,ds,,0,0
cseXXXX,6.5,1,0,1,0,0,0,python,ds,,400000,Hidden Brains
cseXXXX,9.5,0,0,5,2,5,3,java,ds,,1250000,Hidden Brains
cseXXXX,5.8,3,1,0,1,1,0,java,ds,,170000,Hyperlink Infosystem
cseXXXX,7.4,0,0,1,0,2,0,c,ds,,370000,Sea Sia Infotech 
cseXXXX,2.2,15,2,0,0,0,0,c,ds,,0,0
cseXXXX,3.6,8,4,1,1,2,0,c,ds,,0,0
cseXXXX,5,4,1,0,1,1,0,java,ds,,0,0
cseXXXX,9.1,0,0,5,1,5,3,java,ds,,1080000,Sea Sia Infotech 
cseXXXX,1.1,17,2,0,1,0,0,java,ds,,0,0
cseXXXX,8.4,0,0,2,0,3,0,python,ds,,660000,Hidden Brains
cseXXXX,5.6,3,2,1,1,1,1,python,ds,,260000,Sea Sia Infotech 
cseXXXX,3.4,10,2,0,0,1,0,python,ds,,0,0
cseXXXX,7.9,0,0,2,1,2,1,java,ds,,650000,Sea Sia Infotech 
cseXXXX,9.7,0,0,4,1,8,3,python,ds,,1300000,Hidden Brains
cseXXXX,9.3,0,0,2,2,5,2,java,ds,,1050000,Hidden Brains
cseXXXX,6.5,2,1,1,0,2,0,python,ds,,300000,Sea Sia Infotech 
cseXXXX,3,11,5,0,0,0,0,java,ds,,0,0
cseXXXX,4.2,5,1,1,1,0,0,python,networking,,0,0
cseXXXX,6.02,1,0,0,2,1,1,java,networking,,180000,Hyperlink Infosystem
cseXXXX,7.45,0,0,2,1,2,1,python,networking,,350000,Sea Sia Infotech 
cseXXXX,4.29,2,1,1,0,1,0,python,networking,,0,0
cseXXXX,8.98,0,0,0,2,3,2,python,networking,,970000,Hidden Brains
cseXXXX,5.67,3,0,2,0,1,0,python,networking,,240000,Sea Sia Infotech 
cseXXXX,3.3,10,4,0,1,1,0,java,networking,,0,0
cseXXXX,7.5,1,1,2,0,2,1,java,networking,,360000,Hidden Brains
cseXXXX,7.3,2,1,1,1,1,1,c,networking,,230000,Hyperlink Infosystem
cseXXXX,6.8,0,0,1,1,0,2,c,networking,,300000,Sea Sia Infotech 
cseXXXX,6.89,0,0,0,0,1,2,c,networking,,340000,Sea Sia Infotech 
cseXXXX,7.71,0,0,3,0,3,1,java,networking,,500000,Hyperlink Infosystem
cseXXXX,6.73,0,0,1,1,2,0,python,networking,,280000,Sea Sia Infotech 
cseXXXX,4.45,3,1,1,0,2,0,java,networking,,0,0
cseXXXX,5,2,1,0,0,1,0,python,networking,,150000,Sea Sia Infotech 
cseXXXX,9,0,0,0,0,4,2,python,networking,,900000,Hidden Brains
cseXXXX,5.9,3,1,1,1,1,1,python,networking,,280000,Sea Sia Infotech 
cseXXXX,5.2,2,1,0,2,1,1,python,networking,,150000,Hyperlink Infosystem
cseXXXX,5.83,1,0,1,1,2,0,python,networking,,160000,Hyperlink Infosystem
cseXXXX,7.73,0,0,2,0,0,2,python,networking,,380000,Sea Sia Infotech 
cseXXXX,3.33,11,3,0,0,1,0,java,networking,,0,0
cseXXXX,4.82,5,1,0,1,1,0,java,networking,,0,0
cseXXXX,5.98,3,1,1,1,2,0,java,networking,,100000,Sea Sia Infotech 
cseXXXX,7.91,0,0,2,1,3,1,java,ml,,560000,Hidden Brains
cseXXXX,8.34,1,1,1,2,1,2,c,ml,,570000,Hyperlink Infosystem
cseXXXX,8.56,0,0,3,0,0,3,c,ml,,780000,Sea Sia Infotech 
cseXXXX,8.8,0,0,1,2,5,2,c,ml,,950000,Hyperlink Infosystem
cseXXXX,8.23,1,1,0,1,1,1,python,ml,,450000,Hidden Brains
cseXXXX,9,0,0,2,1,2,4,python,ml,,1000000,Sea Sia Infotech 
cseXXXX,9.23,0,0,2,0,4,2,python,mi,,1280000,Hidden Brains
cseXXXX,3.67,9,4,0,1,1,0,python,iot,,0,0
cseXXXX,9.34,0,0,1,2,4,3,java,iot,,1080000,Hyperlink Infosystem
cseXXXX,9.65,0,0,4,1,7,4,java,iot,,1290000,Hidden Brains
cseXXXX,8.81,0,0,0,0,0,0,java,iot,,550000,Hidden Brains 
cseXXXX,8.72,0,0,2,2,1,1,python,iot,,760000,Hidden Brains
cseXXXX,7.54,1,1,2,1,3,1,python,iot,,550000,Hidden Brains
cseXXXX,4.56,4,2,1,1,1,0,java,networking,,0,0
cseXXXX,4.89,3,1,0,1,0,1,c,networking,,0,0
cseXXXX,5.94,2,0,1,1,1,0,c,networking,,200000,Sea Sia Infotech 
cseXXXX,6.34,1,0,0,1,0,1,c,networking,,340000,Sea Sia Infotech 
cseXXXX,9.8,0,0,3,2,6,3,java,networking,,1450000,Hyperlink Infosystem
cseXXXX,5.9,2,0,0,1,1,0,c,networking,,120000,Sea Sia Infotech 
cseXXXX,6.65,2,1,1,1,0,1,python,ds,,330000,Sea Sia Infotech 
cseXXXX,4.73,4,1,0,2,1,0,python,ds,,0,0
cseXXXX,8.67,1,1,3,2,3,0,java,ds,,650000,Hyperlink Infosystem
cseXXXX,6.73,1,1,0,1,0,2,java,ds,,380000,Sea Sia Infotech 
cseXXXX,7.7,0,0,2,0,1,1,python,ds,,450000,Sea Sia Infotech 
cseXXXX,3.5,11,4,0,0,1,0,java,ds,,0,0
cseXXXX,8.23,0,0,2,1,2,1,java,ds,,650000,Hidden Brains
cseXXXX,7.56,2,2,3,1,1,0,python,networking,,200000,Iobot Technologies
cseXXXX,5.89,3,1,1,0,2,0,python,iot,,180000,Sea Sia Infotech 
cseXXXX,6.9,4,4,2,1,1,2,java,ml,,300000,Hyperlink Infosystem
cseXXXX,6.2,2,2,2,2,4,2,java,networking,,270000,Sea Sia Infotech 
